Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,01/01/2026,INCREASE_SEEDS_PRICE,25
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,01/01/2026,INCREASE_SEEDS_PRICE,75
Market,01/01/2026,INCREASE_CROP_PRICE,110
Market,01/01/2026,INCREASE_TOOLS_PRICE,125
Market,01/01/2026,DECREASE_CROP_PRICE,155
Market,01/01/2026,INCREASE_CROP_PRICE,150
Market,01/01/2026,INCREASE_SEEDS_PRICE,55
Market,01/01/2026,INCREASE_CROP_PRICE,145
Market,01/01/2026,INCREASE_SEEDS_PRICE,150
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,01/01/2026,INCREASE_CROP_PRICE,60
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,01/01/2026,INCREASE_SEEDS_PRICE,70
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,01/01/2026,INCREASE_TOOLS_PRICE,115
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,26/02/2026,DECREASE_TOOLS_PRICE,60
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,05/08/2026,DECREASE_TOOLS_PRICE,100
Agent,CurrentDate,randomIncreaseOrDecreaseType,randomNumber
Market,03/09/2027,INCREASE_TOOLS_PRICE,160
Market,23/09/2027,DECREASE_CROP_PRICE,5
